Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
4,35,48.08,240.54,5932
4,36,45.57,240.92,5688
4,37,46.39,240.27,5846
4,38,45.91,259.09,5965
4,39,45.80,240.54,5906
4,40,46.47,243.81,5766
4,41,45.40,240.23,6047
4,42,45.36,240.34,5665
4,43,47.76,272.19,5980
4,44,45.77,265.54,5788
4,45,47.59,255.89,6107
4,46,45.05,232.68,5872
4,47,45.64,258.08,5663
4,48,46.53,271.17,5746
4,49,46.25,236.35,6128
4,50,46.86,256.78,5573
5,1,89.32,257.23,4214
5,2,62.51,258.94,6664
5,3,48.84,252.55,6829
5,4,48.79,251.13,6865
5,5,49.55,241.33,6588
5,6,49.50,248.17,6380
5,7,48.52,243.24,6612
5,8,47.81,245.70,6488
5,9,48.25,247.93,6823
5,10,47.19,249.44,6617
5,11,47.44,245.53,6781
5,12,46.42,241.25,6931
5,13,47.12,247.75,6909
5,14,45.01,246.32,6910
5,15,45.93,241.38,6938
5,16,45.20,242.12,6827
5,17,44.86,236.64,6638
5,18,44.52,242.26,7008
5,19,45.60,245.21,6643
5,20,45.19,243.09,6960
5,21,45.13,241.51,6858
5,22,45.14,240.96,7450
5,23,45.06,242.05,7154
5,24,43.52,242.12,6790
5,25,44.42,240.91,6873
5,26,44.54,259.21,6806
5,27,43.84,241.88,6733
5,28,43.85,242.43,6629
5,29,44.06,244.02,6395
5,30,43.75,244.92,6561
5,31,44.19,245.36,6535
5,32,43.25,244.93,6586
5,33,43.60,256.95,6939
5,34,44.25,243.84,6623
5,35,44.94,242.24,6803
5,36,44.27,242.07,7051
5,37,43.02,241.00,6578
5,38,43.51,236.04,6765
5,39,43.41,259.33,6765
5,40,44.37,241.69,6997
5,41,45.10,244.44,6909
5,42,44.57,240.38,6677
5,43,44.14,241.95,6895
5,44,45.28,240.61,6887
5,45,44.36,241.46,6481
5,46,43.95,242.47,6664
5,47,44.13,241.04,6848
5,48,44.15,242.47,6848
5,49,42.74,264.17,6993
5,50,44.16,242.76,6889
6,1,84.66,260.12,4893
6,2,59.52,255.73,7712
6,3,49.74,257.62,7863
6,4,49.81,259.90,7692
6,5,48.46,260.84,8152
6,6,48.03,262.45,7986
6,7,45.58,261.82,7782
6,8,46.56,254.04,7967
6,9,46.88,253.51,8314
6,10,44.33,257.30,8422
6,11,45.12,263.14,8400
6,12,44.54,248.39,8550
6,13,44.23,255.86,8908
6,14,43.68,259.60,8801
6,15,44.80,249.27,8972
6,16,43.88,248.98,9078
6,17,41.41,260.28,8466
6,18,43.12,264.89,9224
6,19,41.82,263.26,8823
6,20,43.53,245.02,9115
6,21,42.41,253.49,8713
6,22,41.82,260.85,8664
6,23,43.29,253.89,9002
6,24,43.30,253.02,9086
6,25,43.47,249.49,8778
6,26,43.09,258.49,8351
6,27,42.40,251.29,8304
6,28,44.33,255.95,9010
6,29,42.04,249.03,8598
6,30,43.99,242.30,9114
6,31,44.31,263.59,8863
6,32,43.37,245.80,8772
6,33,43.48,260.71,8366
6,34,43.85,250.28,8993
6,35,43.78,260.45,8763
6,36,43.29,261.11,8587
6,37,43.51,243.66,9040
6,38,43.72,248.68,8554
6,39,45.03,261.83,9106
6,40,42.94,258.04,8885
6,41,44.39,261.10,8937
6,42,42.36,265.09,8741
6,43,43.94,259.21,8767
6,44,43.46,245.38,9081
6,45,43.00,249.85,8696
6,46,43.90,261.37,8909
6,47,42.55,249.55,8654
6,48,43.13,261.13,8711
6,49,43.60,243.57,8848
6,50,42.37,248.56,8637
7,1,81.05,258.93,5805
7,2,59.49,262.35,8644
7,3,53.41,263.13,9369
7,4,53.17,264.23,9659
7,5,50.28,266.20,8966
7,6,51.25,262.78,9602
7,7,49.02,267.57,9753
7,8,47.33,253.95,9775
7,9,47.07,272.63,9821
7,10,46.71,260.45,9583
7,11,44.75,273.53,9707
7,12,44.63,248.72,9648
7,13,43.67,257.94,9746
7,14,43.65,255.25,9902
7,15,41.29,261.66,10094
7,16,42.41,253.75,9851
7,17,42.21,259.39,9779
7,18,41.80,262.21,9617
7,19,41.25,262.00,9875
7,20,42.20,262.01,9714
7,21,41.68,260.90,9689
7,22,41.55,260.91,9712
7,23,41.80,260.60,9614
7,24,41.42,224.70,9729
7,25,41.58,263.71,9637
7,26,41.62,262.24,9391
7,27,41.73,260.78,9746
7,28,41.57,260.89,9576
7,29,41.61,259.17,10068
7,30,40.75,254.77,9502
7,31,41.03,259.00,9425
7,32,41.18,255.21,9549
7,33,42.53,261.66,10019
7,34,41.04,261.93,9653
7,35,41.71,261.75,9687
7,36,42.51,260.39,9872
7,37,41.93,260.47,9641
7,38,41.52,262.02,10029
7,39,42.26,256.11,9679
7,40,42.41,249.24,9991
7,41,42.66,255.97,9688
7,42,42.23,261.14,9623
7,43,41.66,252.75,9728
7,44,41.96,259.60,9817
7,45,41.30,262.92,9166
7,46,40.99,243.95,9686
7,47,41.12,260.86,9421
7,48,42.18,244.73,9753
7,49,42.27,251.58,9767
7,50,41.44,254.98,9754
8,1,87.66,264.08,6691
8,2,58.53,260.85,9960
8,3,51.60,243.87,10408
8,4,51.19,249.19,11089
8,5,50.39,260.92,11009
8,6,49.35,253.15,11167
8,7,48.96,243.38,10997
8,8,47.04,261.21,11408
8,9,46.91,262.58,11586
8,10,45.27,250.12,11384
8,11,45.07,254.09,11574
8,12,43.21,262.57,11347
8,13,42.77,257.91,10837
8,14,43.56,264.03,11556
8,15,42.60,261.55,11133
8,16,41.81,262.39,11247
8,17,41.78,262.62,10903
8,18,41.67,262.50,11061
8,19,41.47,256.85,10929
8,20,41.17,262.36,10179
8,21,41.79,258.89,10488
8,22,42.46,257.76,10799
8,23,41.10,254.69,10448
8,24,41.58,258.30,10909
8,25,42.90,249.78,10655
8,26,41.07,256.40,10167
8,27,42.06,260.45,10264
8,28,41.03,263.09,10303
8,29,41.27,248.84,10475
8,30,41.73,256.66,11396
8,31,42.09,261.54,11028
8,32,41.76,252.98,10498
8,33,40.74,262.07,10209
8,34,41.51,262.29,10645
8,35,41.58,254.08,10832
8,36,41.13,259.07,10792
8,37,41.32,262.89,11035
8,38,41.81,254.78,10889
8,39,41.23,256.68,11463
8,40,42.51,250.75,10600
8,41,41.28,254.01,11124
8,42,41.14,253.29,9974
8,43,42.80,261.91,10765
